#options: 1280x720 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=7500 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:111 out:113 type:b dur:2 cpbdur:2 q:0.00 aq:0.38 tex:1475 mv:91 misc:546 imb:0 pmb:51 smb:3549 d:- ref:0 ;
in:113 out:114 type:b dur:2 cpbdur:2 q:0.00 aq:0.05 tex:1499 mv:14 misc:527 imb:0 pmb:46 smb:3554 d:- ref:0 ;
in:118 out:115 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:3833 mv:94 misc:705 imb:0 pmb:81 smb:3519 d:- ref:0 ;
in:116 out:116 type:B dur:2 cpbdur:2 q:0.00 aq:0.00 tex:1894 mv:171 misc:631 imb:0 pmb:71 smb:3529 d:- ref:0 ;
in:115 out:117 type:b dur:2 cpbdur:2 q:0.00 aq:0.05 tex:1475 mv:87 misc:526 imb:0 pmb:50 smb:3550 d:- ref:0 ;
in:117 out:118 type:b dur:2 cpbdur:2 q:0.00 aq:0.05 tex:1570 mv:161 misc:613 imb:0 pmb:68 smb:3532 d:- ref:0 ;
in:122 out:119 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:57267 mv:1099 misc:898 imb:41 pmb:223 smb:3336 d:- ref:0 ;
in:120 out:120 type:B dur:2 cpbdur:2 q:0.00 aq:0.02 tex:27695 mv:441 misc:752 imb:0 pmb:207 smb:3393 d:- ref:0 ;
in:119 out:121 type:b dur:2 cpbdur:2 q:0.00 aq:0.54 tex:2578 mv:178 misc:692 imb:0 pmb:144 smb:3456 d:- ref:0 ;
in:121 out:122 type:b dur:2 cpbdur:2 q:0.00 aq:0.36 tex:5664 mv:233 misc:727 imb:0 pmb:162 smb:3438 d:- ref:0 ;
